Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 1000 rows, 1300 columns and 1000 nonzeros
Model fingerprint: 0xcab6f26f
Variable types: 1000 continuous, 300 integer (300 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [9e-06, 1e+00]
Found heuristic solution: objective -1.01138e+15
Presolve removed 1000 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1300 columns, 0 nonzeros
Variable types: 1000 continuous, 300 integer (300 binary)
Found heuristic solution: objective -1.01138e+15

Root relaxation: objective 4.249407e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  6282  1474 247023.184   22  131 246941.036 247274.753  0.14%   128 1070s
  6330  1473 246953.110   23  121 246941.036 247272.980  0.13%   128 1075s
  6377  1475 247111.796   21  144 246941.036 247272.118  0.13%   128 1083s
  6393  1475     cutoff   29      246941.036 247271.946  0.13%   128 1085s
  6440  1480 246962.353   23  125 246941.036 247271.344  0.13%   128 1090s
  6465  1480 246966.562   21  146 246941.036 247269.469  0.13%   128 1095s
  6506  1476 247005.910   22  136 246941.036 247267.925  0.13%   128 1100s
  6554  1478     cutoff   30      246941.036 247265.620  0.13%   128 1105s
  6591  1481 247138.336   23  124 246941.036 247264.107  0.13%   128 1110s
  6629  1479 246975.917   26  107 246941.036 247260.932  0.13%   128 1115s
  6651  1481 247071.214   19  136 246941.036 247260.710  0.13%   128 1121s
  6685  1487 247013.796   23  136 246941.036 247260.493  0.13%   128 1125s
  6727  1484 247068.690   31  113 246941.036 247259.868  0.13%   128 1130s
  6782  1492 247134.375   28  127 246941.036 247258.386  0.13%   128 1135s
  6813  1496 247001.850   24  121 246941.036 247257.843  0.13%   128 1140s
  6869  1499 246941.599   34  104 246941.036 247255.962  0.13%   128 1145s
  6914  1500 247083.049   28  107 246941.036 247255.009  0.13%   128 1150s
  6965  1506 246969.072   28  126 246941.036 247253.378  0.13%   128 1155s
  7017  1504 247095.782   20  137 246941.036 247252.361  0.13%   128 1160s
  7061  1501 247045.402   26  122 246941.036 247250.226  0.13%   128 1167s
  7088  1504 247112.320   24  130 246941.036 247249.594  0.12%   128 1170s
  7138  1504     cutoff   29      246941.036 247248.487  0.12%   128 1175s
  7151  1505 247003.787   23  119 246941.036 247248.214  0.12%   128 1183s
  7169  1506 247024.308   26  112 246941.036 247247.672  0.12%   128 1185s
  7224  1509 247093.098   20  126 246941.036 247245.758  0.12%   128 1190s
  7278  1515 246965.493   26  112 246941.036 247244.964  0.12%   128 1195s
  7314  1510 247135.399   27  115 246941.036 247243.437  0.12%   128 1200s
  7372  1518 246954.031   29  115 246941.036 247242.593  0.12%   128 1205s
  7428  1520 247038.030   28  109 246941.036 247241.356  0.12%   128 1210s
  7474  1520 247128.091   20  141 246941.036 247240.134  0.12%   128 1215s
  7529  1519 247221.825   19  158 246941.036 247237.774  0.12%   128 1220s
  7538  1521 247069.315   23  147 246941.036 247237.774  0.12%   128 1225s
  7574  1525 247000.486   27  116 246941.036 247237.536  0.12%   128 1230s
  7630  1529 247012.780   22  138 246941.036 247235.375  0.12%   128 1235s
  7680  1528 247001.816   29  117 246941.036 247233.345  0.12%   128 1240s
