    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  7876  5257 246274.995   43  125 245606.547 247917.991  0.94%   132 1105s
  7904  5273 247609.274   17  151 245606.547 247911.887  0.94%   132 1110s
  7925  5294 246263.443   38  125 245606.547 247911.887  0.94%   132 1115s
  7954  5315 246926.949   39  126 245606.547 247911.606  0.94%   132 1120s
  7987  5335 247444.423   24  138 245606.547 247906.945  0.94%   132 1125s
  8009  5357 245937.083   46  117 245606.547 247906.945  0.94%   132 1130s
  8041  5375 246581.977   31  122 245606.547 247903.635  0.94%   132 1135s
  8074  5398 246706.892   34  111 245606.547 247895.269  0.93%   132 1140s
  8119  5432 247305.834   24  140 245606.547 247895.089  0.93%   132 1146s
  8141  5454 245894.780   46  109 245606.547 247895.089  0.93%   132 1150s
  8167  5472 246484.937   35  127 245606.547 247890.059  0.93%   132 1155s
  8191  5484 247522.483   21  138 245606.547 247885.211  0.93%   132 1160s
  8237  5522 245636.058   60   94 245606.547 247885.211  0.93%   132 1165s
  8269  5542 245627.134   44  113 245606.547 247883.665  0.93%   132 1170s
  8286  5549 247136.386   29  131 245606.547 247883.603  0.93%   132 1175s
  8342  5605 245811.083   70   66 245606.547 247883.603  0.93%   132 1180s
  8379  5631 246077.360   38  117 245606.547 247882.906  0.93%   133 1185s
  8438  5662 246942.051   29  127 245606.547 247871.694  0.92%   133 1191s
  8449  5673 246478.335   40  115 245606.547 247871.694  0.92%   133 1195s
  8487  5699 246719.763   30  121 245606.547 247869.633  0.92%   133 1200s
  8520  5732 246321.312   47   97 245606.547 247869.633  0.92%   133 1205s
  8573  5771 246591.899   28  134 245606.547 247863.787  0.92%   133 1210s
  8599  5789 247343.551   18  152 245606.547 247863.596  0.92%   133 1215s
  8619  5809 246237.201   38  119 245606.547 247863.596  0.92%   133 1220s
  8645  5827 247087.869   20  140 245606.547 247863.419  0.92%   133 1225s
  8693  5855     cutoff   41      245606.547 247863.419  0.92%   133 1230s
  8715  5877 246394.396   45  115 245606.547 247862.381  0.92%   133 1235s
  8740  5895 246968.829   26  132 245606.547 247860.734  0.92%   133 1240s
  8761  5916 245890.967   47  102 245606.547 247860.734  0.92%   133 1245s
  8792  5939 246622.538   39  122 245606.547 247858.185  0.92%   134 1251s
  8828  5967 247333.214   28  136 245606.547 247858.058  0.92%   134 1255s
  8904  6033 247303.471   25  135 245606.547 247856.655  0.92%   134 1261s
  8928  6057 246244.055   49  108 245606.547 247856.655  0.92%   134 1265s
  8959  6070 247065.415   31  127 245606.547 247851.836  0.91%   134 1270s
  8986  6097 245742.745   58   91 245606.547 247851.836  0.91%   134 1275s
  9018  6119 246162.478   42  115 245606.547 247847.933  0.91%   134 1281s
  9035  6128 247595.022   22  150 245606.547 247844.419  0.91%   134 1285s
  9065  6150 247274.777   26  136 245606.547 247843.332  0.91%   134 1290s
  9095  6180 245854.435   56   85 245606.547 247843.332  0.91%   134 1295s
  9122  6195 246748.012   35  121 245606.547 247842.471  0.91%   134 1300s
  9157  6222 247292.082   28  126 245606.547 247842.084  0.91%   134 1305s
  9200  6257 247473.127   23  138 245606.547 247839.361  0.91%   134 1310s
  9227  6284 246316.932   50  101 245606.547 247839.361  0.91%   134 1315s
  9260  6307 246979.985   29  125 245606.547 247839.347  0.91%   134 1320s
  9304  6337 247318.590   23  131 245606.547 247839.285  0.91%   134 1325s
  9346  6371     cutoff   60      245606.547 247839.285  0.91%   134 1330s
  9366  6391 246899.082   36  122 245606.547 247837.901  0.91%   134 1335s
  9411  6436 245795.054   65   84 245606.547 247837.901  0.91%   134 1340s
  9459  6472 246295.480   52   99 245606.547 247837.638  0.91%   134 1345s
  9498  6497 246715.575   34  122 245606.547 247836.336  0.91%   134 1350s
  9534  6524 247351.516   27  137 245606.547 247836.024  0.91%   134 1355s
  9577  6565 245647.406   69   94 245606.547 247836.024  0.91%   134 1360s
  9603  6583 246407.981   47  112 245606.547 247835.640  0.91%   134 1365s
  9632  6602 246945.515   29  128 245606.547 247834.386  0.91%   134 1370s
  9660  6622 246400.639   31  102 245606.547 247833.620  0.91%   134 1375s
  9704  6648 246381.719   47   98 245606.547 247833.391  0.91%   134 1380s
  9736  6660 247118.781   31  120 245606.547 247829.749  0.91%   134 1385s
  9771  6684 247568.983   23  141 245606.547 247829.706  0.91%   134 1390s
  9804  6707 247485.789   19  138 245606.547 247828.869  0.90%   134 1395s
  9836  6739 246180.667   51  100 245606.547 247828.869  0.90%   134 1401s
  9856  6751 247449.515   24  144 245606.547 247828.417  0.90%   134 1405s
  9895  6790 246174.461   53   84 245606.547 247828.417  0.90%   134 1410s
  9950  6834 246336.118   45  111 245606.547 247827.042  0.90%   134 1415s
  9974  6847 247078.990   23  134 245606.547 247825.817  0.90%   134 1420s
 10001  6872 245721.987   49  100 245606.547 247825.817  0.90%   134 1425s
 10062  6899 247091.715   30  118 245606.547 247817.838  0.90%   134 1430s
 10104  6933 247200.729   28  127 245606.547 247814.990  0.90%   134 1435s
 10145  6964 247555.068   20  148 245606.547 247814.433  0.90%   134 1440s
 10182  6989 247227.977   25  132 245606.547 247814.354  0.90%   134 1445s
 10220  7019 247444.960   22  142 245606.547 247812.892  0.90%   134 1450s
 10263  7044 247402.006   21  150 245606.547 247808.285  0.90%   134 1455s
 10292  7073 246499.756   35  116 245606.547 247808.285  0.90%   134 1460s
 10348  7126 245744.707   63   76 245606.547 247808.285  0.90%   134 1465s
 10387  7149 246151.554   45  114 245606.547 247803.050  0.89%   134 1470s
 10413  7168 247167.450   33  122 245606.547 247803.047  0.89%   135 1475s
 10486  7227 247264.383   28  133 245606.547 247802.914  0.89%   134 1480s
 10521  7248 247227.235   26  132 245606.547 247802.201  0.89%   135 1485s
 10552  7277 245652.301   41  101 245606.547 247802.201  0.89%   135 1490s
 10579  7282 246962.078   24  130 245606.547 247797.816  0.89%   135 1495s
 10605  7300 247421.290   22  138 245606.547 247797.574  0.89%   135 1500s
 10640  7335 245798.877   57  102 245606.547 247797.574  0.89%   135 1505s
 10668  7355 246293.105   41  117 245606.547 247793.493  0.89%   135 1511s
 10699  7374 247097.010   32  131 245606.547 247791.614  0.89%   135 1515s
 10735  7398 247095.562   27  133 245606.547 247789.984  0.89%   135 1520s
 10781  7436 247175.703   27  136 245606.547 247788.300  0.89%   135 1525s
 10816  7461 247360.522   22  148 245606.547 247788.147  0.89%   135 1530s
 10863  7493 247200.613   20  137 245606.547 247787.740  0.89%   135 1535s
 10900  7522 247427.260   27  137 245606.547 247787.595  0.89%   135 1540s
 10940  7562 246112.178   54  101 245606.547 247787.595  0.89%   135 1545s
 10982  7592 246718.403   32  122 245606.547 247787.484  0.89%   135 1550s
 11018  7620 246263.348   30  127 245606.547 247782.176  0.89%   135 1555s
 11040  7634 247270.607   24  138 245606.547 247781.025  0.89%   135 1560s
 11082  7672 245632.780   63   74 245606.547 247781.025  0.89%   135 1565s
 11125  7689 247474.318   23  135 245606.547 247780.468  0.89%   135 1570s
 11156  7720 246061.204   54   97 245606.547 247780.468  0.89%   135 1575s
 11184  7740 246802.193   34  118 245606.547 247779.585  0.88%   135 1580s
 11244  7798 245866.032   64   75 245606.547 247779.585  0.88%   135 1585s
 11283  7826 246265.550   44  111 245606.547 247778.238  0.88%   135 1590s
 11311  7846 247117.804   30  123 245606.547 247777.439  0.88%   135 1595s
 11349  7876 247206.862   28  121 245606.547 247777.346  0.88%   135 1600s
 11398  7918     cutoff   74      245606.547 247777.346  0.88%   135 1605s
 11445  7953 247266.662   23  131 245606.547 247774.849  0.88%   135 1610s
 11507  8007 247342.170   25  136 245606.547 247774.713  0.88%   135 1615s
 11547  8033 247125.833   25  137 245606.547 247774.713  0.88%   135 1620s
 11582  8060 247145.447   20  140 245606.547 247774.519  0.88%   135 1625s
 11616  8082 247322.641   30  127 245606.547 247773.648  0.88%   135 1630s
 11658  8114 246491.856   30  112 245606.547 247772.810  0.88%   135 1635s
 11695  8141 246517.737   43  112 245606.547 247769.049  0.88%   135 1640s
