Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 1000 rows, 1300 columns and 1000 nonzeros
Model fingerprint: 0x2f4a87f5
Variable types: 1000 continuous, 300 integer (300 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e-05, 1e+00]
Found heuristic solution: objective -1.01138e+15
Presolve removed 1000 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1300 columns, 0 nonzeros
Variable types: 1000 continuous, 300 integer (300 binary)
Found heuristic solution: objective -1.01138e+15

Root relaxation: objective 4.294161e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  2707  1295 247747.679   16  164 245606.547 248108.854  1.02%   153 1071s
  2709  1297 247474.289   18  156 245606.547 248108.854  1.02%   153 1080s
  2724  1312 246134.575   33  133 245606.547 248108.854  1.02%   153 1085s
  2736  1318 245778.712   40  126 245606.547 248108.854  1.02%   153 1095s
  2744  1318 247574.293   17  160 245606.547 248067.560  1.00%   153 1100s
  2756  1330 246604.439   29  126 245606.547 248067.560  1.00%   153 1105s
  2763  1337 246161.740   36  124 245606.547 248067.560  1.00%   153 1115s
  2779  1343 247631.381   18  162 245606.547 248065.681  1.00%   153 1122s
  2784  1348 247068.333   23  149 245606.547 248065.681  1.00%   153 1125s
  2790  1354 246707.639   26  134 245606.547 248065.681  1.00%   153 1136s
  2800  1364 246404.939   30  126 245606.547 248065.681  1.00%   153 1140s
  2814  1377 245816.213   38   99 245606.547 248065.681  1.00%   153 1145s
  2829  1380 247259.864   18  155 245606.547 248065.654  1.00%   154 1151s
  2836  1387 246472.118   25  142 245606.547 248065.654  1.00%   154 1155s
  2853  1395 247613.742   15  163 245606.547 248065.286  1.00%   154 1161s
  2863  1405 246423.802   25  126 245606.547 248065.286  1.00%   154 1165s
  2879  1413 247665.452   15  162 245606.547 248044.333  0.99%   154 1181s
  2883  1417 247261.089   19  153 245606.547 248044.333  0.99%   154 1185s
  2899  1433 246069.399   35  121 245606.547 248044.333  0.99%   154 1190s
  2911  1438 247670.550   16  155 245606.547 248042.377  0.99%   154 1196s
  2919  1446 246773.442   24  143 245606.547 248042.377  0.99%   154 1200s
  2940  1453 247559.494   16  151 245606.547 248028.872  0.99%   154 1208s
  2944  1457 247057.423   18  150 245606.547 248028.872  0.99%   154 1210s
  2954  1467 246692.383   23  126 245606.547 248028.872  0.99%   154 1215s
  2973  1486 246115.775   33  105 245606.547 248028.872  0.99%   155 1220s
  2993  1495 247830.576   13  164 245606.547 248028.734  0.99%   155 1230s
  2998  1500 247360.768   16  155 245606.547 248028.734  0.99%   155 1235s
  3009  1511 246780.351   19  143 245606.547 248028.734  0.99%   156 1240s
  3028  1530 245842.687   27  123 245606.547 248028.734  0.99%   156 1245s
  3046  1535 247039.442   18  157 245606.547 248014.096  0.98%   156 1250s
  3063  1552 245833.659   35  118 245606.547 248014.096  0.98%   156 1255s
  3079  1560 247175.957   24  150 245606.547 248006.747  0.98%   156 1260s
  3086  1567 246669.302   31  136 245606.547 248006.747  0.98%   156 1271s
