    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  7512  4328 224638.486   39  103 222232.940 225764.761  1.59%   127 1225s
  7542  4350 225164.495   32  112 222232.940 225764.612  1.59%   127 1230s
  7562  4370 222683.160   52   89 222232.940 225764.612  1.59%   127 1235s
  7586  4386 224000.510   46   94 222232.940 225755.546  1.59%   127 1240s
  7615  4405 225108.147   35   99 222232.940 225753.966  1.58%   127 1245s
  7650  4432 224888.157   33  101 222232.940 225753.129  1.58%   127 1250s
  7681  4463 222528.899   47   64 222232.940 225753.129  1.58%   128 1255s
  7721  4485 222892.553   56   66 222232.940 225751.867  1.58%   128 1260s
  7749  4505 222991.711   52   86 222232.940 225750.392  1.58%   128 1265s
  7754  4510 222717.660   57   81 222232.940 225750.392  1.58%   128 1270s
  7787  4535 222348.512   57   74 222232.940 225749.551  1.58%   128 1275s
  7812  4544 223852.022   38   93 222232.940 225748.725  1.58%   128 1280s
  7845  4569 224340.675   38   90 222232.940 225740.620  1.58%   128 1285s
  7877  4593 224847.687   33   97 222232.940 225738.308  1.58%   128 1290s
  7917  4633 222744.561   52   73 222232.940 225738.308  1.58%   128 1295s
  7956  4659 222683.732   47   77 222232.940 225738.245  1.58%   128 1300s
  7974  4667 223436.062   44   76 222232.940 225737.901  1.58%   128 1305s
  8005  4686 223290.637   50   83 222232.940 225734.714  1.58%   128 1310s
  8009  4690 222335.214   54   72 222232.940 225734.714  1.58%   128 1319s
  8010  4689     cutoff   55      222232.940 225734.714  1.58%   128 1320s
  8044  4714 223527.233   45   66 222232.940 225733.840  1.58%   128 1325s
  8093  4749 224871.596   34  105 222232.940 225730.171  1.57%   128 1330s
  8130  4778 224535.365   40   84 222232.940 225725.516  1.57%   128 1335s
  8168  4806 224533.641   38   93 222232.940 225723.796  1.57%   128 1340s
  8207  4833 224691.198   34   99 222232.940 225710.713  1.56%   128 1345s
  8241  4859 224887.513   35   91 222232.940 225709.089  1.56%   128 1350s
  8274  4884 224311.639   34  103 222232.940 225704.278  1.56%   128 1355s
  8300  4906 222350.011   57   78 222232.940 225704.278  1.56%   128 1360s
  8334  4934 223365.950   43   74 222232.940 225700.385  1.56%   128 1365s
  8379  4967 224158.644   38   89 222232.940 225699.719  1.56%   128 1370s
  8425  4987 224891.933   32   99 222232.940 225698.891  1.56%   128 1375s
  8455  5006 225188.766   33  104 222232.940 225698.728  1.56%   128 1380s
  8465  5016 223896.598   43   93 222232.940 225698.728  1.56%   128 1401s
  8489  5030 225124.826   29  106 222232.940 225697.567  1.56%   128 1405s
  8497  5038 223806.293   37   94 222232.940 225697.567  1.56%   128 1413s
  8505  5046 223174.640   45   84 222232.940 225697.567  1.56%   128 1415s
  8542  5069 223397.534   45   63 222232.940 225695.271  1.56%   128 1420s
  8578  5093 223702.652   41   98 222232.940 225689.727  1.56%   128 1425s
  8611  5116 224170.350   43   94 222232.940 225681.870  1.55%   128 1430s
  8642  5139 224867.824   32  105 222232.940 225679.742  1.55%   128 1435s
  8668  5157 225121.448   28  106 222232.940 225678.893  1.55%   128 1440s
  8691  5180 223101.646   37   86 222232.940 225678.893  1.55%   128 1445s
  8728  5199 223921.249   42   88 222232.940 225676.008  1.55%   128 1450s
  8765  5226 224434.669   37   93 222232.940 225675.760  1.55%   128 1455s
  8822  5267 225054.714   30  102 222232.940 225675.758  1.55%   128 1460s
  8851  5284 225522.143   30  109 222232.940 225674.580  1.55%   128 1469s
  8852  5285 225395.357   31  108 222232.940 225674.580  1.55%   128 1470s
  8883  5308 225131.005   31   96 222232.940 225671.164  1.55%   129 1475s
  8915  5330 225392.414   33  107 222232.940 225668.811  1.55%   129 1480s
  8941  5352     cutoff   58      222232.940 225668.811  1.55%   129 1485s
  8970  5370 223148.670   51   84 222232.940 225668.319  1.55%   129 1490s
